epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,6788.05,0.71785,0.43205,1.08598,0.83863,0.77768,0.84081,0.59283,1.19301,0.91919,1.52943,0.000126185,0.000126185,0.000126185
121,6844.05,0.68587,0.40692,1.08959,0.84296,0.78222,0.83911,0.59106,1.18113,0.92631,1.50937,0.000122304,0.000122304,0.000122304
122,6901.45,0.70474,0.42456,1.09173,0.8391,0.80093,0.84892,0.59883,1.18677,0.88488,1.51583,0.000118423,0.000118423,0.000118423
123,6957.59,0.69111,0.41356,1.08558,0.84059,0.79206,0.84456,0.59625,1.17541,0.88756,1.50324,0.000114542,0.000114542,0.000114542
124,7013.59,0.68497,0.41187,1.08389,0.85273,0.78481,0.84888,0.59524,1.17735,0.87835,1.51936,0.000110662,0.000110662,0.000110662
125,7070.94,0.68574,0.41142,1.07863,0.83525,0.79894,0.84825,0.59667,1.19553,0.89359,1.54016,0.000106781,0.000106781,0.000106781
126,7127.3,0.67285,0.39756,1.07389,0.83135,0.80142,0.84322,0.59296,1.18474,0.87691,1.52613,0.0001029,0.0001029,0.0001029
127,7183.54,0.66647,0.39567,1.06914,0.86164,0.77793,0.84638,0.59752,1.18085,0.88467,1.53026,9.90192e-05,9.90192e-05,9.90192e-05
128,7239.54,0.67571,0.39376,1.06963,0.83627,0.79649,0.84481,0.60004,1.18006,0.89772,1.52716,9.51384e-05,9.51384e-05,9.51384e-05
129,7297.87,0.67662,0.40503,1.06884,0.85018,0.77849,0.84696,0.60129,1.1726,0.87803,1.53032,9.12576e-05,9.12576e-05,9.12576e-05
130,7354.15,0.66343,0.38638,1.06471,0.86608,0.77325,0.84397,0.59635,1.19145,0.88652,1.54435,8.73768e-05,8.73768e-05,8.73768e-05
131,7410.54,0.6603,0.39769,1.0624,0.86867,0.77115,0.84136,0.59345,1.19307,0.87772,1.53787,8.3496e-05,8.3496e-05,8.3496e-05
132,7467.2,0.65197,0.39359,1.06907,0.85764,0.78421,0.84523,0.59574,1.19319,0.86864,1.54883,7.96152e-05,7.96152e-05,7.96152e-05
133,7524.29,0.65361,0.38518,1.05342,0.8709,0.77932,0.84536,0.59537,1.18798,0.88169,1.53627,7.57344e-05,7.57344e-05,7.57344e-05
134,7580.27,0.64947,0.38081,1.05469,0.85577,0.7898,0.84812,0.59977,1.19162,0.87676,1.54179,7.18536e-05,7.18536e-05,7.18536e-05
135,7636.55,0.63937,0.37779,1.05302,0.85436,0.79247,0.847,0.60141,1.18173,0.87759,1.53584,6.79728e-05,6.79728e-05,6.79728e-05
136,7692.96,0.66003,0.38497,1.06047,0.87526,0.76871,0.84529,0.59852,1.18509,0.88836,1.55124,6.4092e-05,6.4092e-05,6.4092e-05
137,7749.59,0.64576,0.38683,1.05112,0.81452,0.80673,0.84622,0.59838,1.18837,0.90451,1.55362,6.02112e-05,6.02112e-05,6.02112e-05
138,7807.15,0.6353,0.38287,1.05362,0.86697,0.77497,0.85196,0.59989,1.19066,0.88508,1.54875,5.63304e-05,5.63304e-05,5.63304e-05
139,7863.02,0.64876,0.38039,1.05457,0.84501,0.79417,0.84643,0.59682,1.18506,0.8946,1.53988,5.24496e-05,5.24496e-05,5.24496e-05
140,7918.88,0.63233,0.37357,1.04669,0.86186,0.78484,0.84571,0.59808,1.18846,0.87545,1.54674,4.85688e-05,4.85688e-05,4.85688e-05
141,7976.7,0.56781,0.30346,1.02974,0.82606,0.80374,0.83898,0.59154,1.19285,0.89745,1.55664,4.4688e-05,4.4688e-05,4.4688e-05
142,8031.63,0.56006,0.29308,1.01033,0.86046,0.78672,0.84116,0.59462,1.18638,0.87648,1.54983,4.08072e-05,4.08072e-05,4.08072e-05
143,8086.17,0.55257,0.29137,1.00124,0.8423,0.79746,0.83936,0.5944,1.18747,0.88152,1.55153,3.69264e-05,3.69264e-05,3.69264e-05
144,8141.17,0.54823,0.28932,1.0018,0.83443,0.80963,0.8411,0.59255,1.18956,0.86846,1.56088,3.30456e-05,3.30456e-05,3.30456e-05
145,8196.03,0.54209,0.28065,0.99392,0.8381,0.79976,0.8436,0.59598,1.19644,0.87947,1.57305,2.91648e-05,2.91648e-05,2.91648e-05
146,8251.26,0.54495,0.29162,0.99641,0.85067,0.7896,0.84296,0.5994,1.18246,0.89356,1.55434,2.5284e-05,2.5284e-05,2.5284e-05
147,8306.47,0.53452,0.28184,0.98647,0.84097,0.79266,0.84416,0.59801,1.19233,0.88062,1.56835,2.14032e-05,2.14032e-05,2.14032e-05
148,8361.94,0.53212,0.28137,0.99037,0.85404,0.7843,0.84258,0.59667,1.19395,0.87687,1.57189,1.75224e-05,1.75224e-05,1.75224e-05
149,8416.11,0.51787,0.27058,0.97601,0.84233,0.79867,0.84257,0.59605,1.19397,0.87988,1.57283,1.36416e-05,1.36416e-05,1.36416e-05
150,8472.86,0.52972,0.28899,0.99097,0.85535,0.79761,0.84459,0.59765,1.18949,0.87937,1.56683,9.7608e-06,9.7608e-06,9.7608e-06
